,FROM_ADDRESS,function_count_30d_bin,value_sent_bin,contract_diversity_7d_bin,gas_used_7d_bin,tx_per_day_bin,first_last_bin,tx_count_30d_bin_binary,cluster_jaccard
6842,0x3f7b7d09cc3cdf473f5be37c0e3db38be2e68ca5,0,none_or_zero,very_low,high,high,very_short,1,1
6843,0x3f81ade9d20976888d5c027764e43ef0ed53f948,0,none_or_zero,low,very_low,high,very_short,1,4
6844,0x3f843d5c66fa5757c372647d7d6d326d83577fe6,0,none_or_zero,very_low,medium,high,very_short,1,2
6845,0x3f85b4afa3b1712a811bfdfbc700f460583e3338,0,none_or_zero,low,very_low,high,very_short,1,4
6846,0x3f8d9986986f0793006820071841372315cbbd3c,0,none_or_zero,low,very_low,high,very_short,1,4
6847,0x3f8df53874041be6c08d6d223d9e03a418162674,0,none_or_zero,low,very_low,high,very_short,1,4
6848,0x3f926423deacb1c314938cd26b1f28bf7033fe77,0,none_or_zero,low,very_low,high,very_short,1,4
6849,0x3f94463f2921e15350550c5664028711d40d5846,0,none_or_zero,low,very_low,high,very_short,1,4
6850,0x3f95655307db0ba8d93a7450e90b5c8be7023249,0,none_or_zero,low,very_low,high,very_short,1,4
6851,0x3f9b57c98eedcaa347bf8ba0f739afa3cb524d6d,0,none_or_zero,very_low,high,high,very_short,1,1
6852,0x3fa3e85f0a921b87a6594eda1a313b0fd7547d49,0,none_or_zero,very_low,medium,high,very_short,1,2
6853,0x3fa4a03969c98fdc6be60f6d6544d8cb833a1c3c,0,none_or_zero,low,very_low,high,,1,4
6854,0x3fa5db0910afc2a1e6de45039ea217410fb8641d,0,none_or_zero,very_low,very_low,high,,1,3
6855,0x3fa642c0bbad64569eb8424af35f518347249216,1,none_or_zero,low,low,high,,1,6
6856,0x3fa6fff7212d3fa4317cf1955fa690993d8ced70,0,none_or_zero,very_low,very_low,high,,1,3
6857,0x3fa73f1e5d8a792c80f426fc8f84fbf7ce9bbcac,0,none_or_zero,low,very_low,high,,1,4
6858,0x3fa7e578675818c321cccaa027a21a372978d576,1,none_or_zero,low,very_low,high,very_short,1,6
6859,0x3faabd081bbd299067c79a5b8458f5a448193a27,0,none_or_zero,low,very_low,high,very_short,1,4
6860,0x3faad2238ab2c50a4bd8fb496b24cddd2fe6ceb4,0,none_or_zero,low,very_low,high,very_short,1,4
6861,0x3face000bddecb1e54a7af0f80e62f7d314e90d1,1,moderate,low,high,very_high,very_short,1,5
6862,0x3face000cb537ad065b90ef47f23d62b48b2264c,1,none_or_zero,low,very_low,very_high,,1,5
6863,0x3fb0f9c186d1acafc5427c9021d4bd06aa1cf6ea,1,none_or_zero,low,high,high,very_short,1,6
6864,0x3fbaf18571b58d359032dabeb55ee0a2a9cce229,0,none_or_zero,very_low,medium,high,very_short,1,2
6865,0x3fbd55bbfbb36f45167c9abe1396a4e5a192e8fb,0,none_or_zero,very_low,medium,high,,1,3
6866,0x3fbf4899841a8c9b6ec08299e8b92f15764341c7,0,none_or_zero,very_low,high,high,very_short,1,1
6867,0x3fbf9e11dfad6ca19040dd67ca5704756a948d9a,0,none_or_zero,low,very_low,high,very_short,1,4
6868,0x3fc57ba7472c12e5d1e579ca7e12df76702434fb,0,none_or_zero,very_low,high,high,very_short,1,1
6869,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,1,very_high,very_high,medium,very_high,,1,5
6870,0x3fcaae7fb2d84f4f83e269bd941b7f10fe6573f0,0,none_or_zero,low,very_low,high,very_short,1,4
6871,0x3fd46e31e77926a50d2c5a0244d509c25aa0982b,1,none_or_zero,low,medium,high,very_short,1,6
6872,0x3fd4cf9303c4bc9e13772618828712c8eac7dd2f,0,none_or_zero,low,very_low,high,,1,4
6873,0x3fddfc8883a50c924dd15515c85f4be4f2c8c023,0,none_or_zero,very_low,medium,high,very_short,1,2
